GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39127,Perry County,COUNTY,2023,231,233350.0,27376.45166236182,77390,1550.0,3.0152474479906965,240232.5161961523,79672.57093816253
0500000US39127,Perry County,COUNTY,2024,229,229900.0,22599.59020487262,82938,1487.0,2.771950131423473,229900.0,82938.0
0500000US39129,Pickaway County,COUNTY,2012,179,112500.0,6833.349341055452,53699,1282.0,2.0950110802808246,153706.16174638714,73367.70826328215
0500000US39129,Pickaway County,COUNTY,2013,236,120750.0,6810.897087740386,54079,1130.0,2.2328445422437544,162596.30210725585,72820.25193919908
0500000US39129,Pickaway County,COUNTY,2014,458,138119.5,5173.867922331098,56371,981.0,2.450187152968725,183016.38886988038,74694.86102240472
0500000US39129,Pickaway County,COUNTY,2015,562,140500.0,5634.41874852865,58192,1604.0,2.4144212262854,185949.9719429408,77016.37556799724
0500000US39129,Pickaway County,COUNTY,2016,652,150000.0,5263.884201790343,60294,1005.0,2.487809732311673,196049.90687771607,78804.22056856676
0500000US39129,Pickaway County,COUNTY,2017,670,159900.0,6086.681918804124,63764,1469.0,2.5076845869142463,204629.85925261097,81601.11535574413
0500000US39129,Pickaway County,COUNTY,2018,630,172900.0,6090.455767559074,64052,1189.0,2.6993692624742396,215990.9046741031,80015.32345972037
0500000US39129,Pickaway County,COUNTY,2019,648,187750.0,6547.492733287197,67207,1091.0,2.7936078087104024,230367.67915605672,82462.42670061841
0500000US39129,Pickaway County,COUNTY,2020,638,215000.0,6134.671457291316,66715,579.0,3.2226635689125382,260588.36370942503,80861.17527848508
0500000US39129,Pickaway County,COUNTY,2021,753,255000.0,7624.1723928966685,71839,1250.0,3.549603975556453,295201.2953463483,83164.57198582869
0500000US39129,Pickaway County,COUNTY,2022,870,293500.0,8278.729856432314,75777,1639.0,3.8732069097483404,314594.73270574573,81223.32218140816
0500000US39129,Pickaway County,COUNTY,2023,718,300000.0,8132.14335470668,77390,1550.0,3.876469828143171,308848.3173723835,79672.57093816253
0500000US39129,Pickaway County,COUNTY,2024,747,330000.0,8322.650929258234,82938,1487.0,3.978875786732258,330000.0,82938.0
0500000US39141,Ross County,COUNTY,2012,27,52000.0,17032.85872744401,53699,1282.0,0.9683606771075811,71046.40365166338,73367.70826328215
0500000US39141,Ross County,COUNTY,2013,34,55000.0,16222.600171457654,54079,1130.0,1.017030640359474,74060.42746086187,72820.25193919908
0500000US39141,Ross County,COUNTY,2014,71,57774.0,12492.778258630322,56371,981.0,1.024888683897749,76553.91780717763,74694.86102240472
0500000US39141,Ross County,COUNTY,2015,113,107000.0,13810.541243227444,58192,1604.0,1.8387407203739345,141613.14589248874,77016.37556799724
0500000US39141,Ross County,COUNTY,2016,181,132000.0,10474.506526793171,60294,1005.0,2.189272564434272,172523.91805239013,78804.22056856676
