GEO_ID,NAME,reference_period,Number of Sales,Median Sale Price,Median Sale Price MOE,Median Household Income (Columbus MSA),Sales Price to Income Index (MORPC 15-county region),Median Sale Price (2024 Dollars),"Median Household Income (Columbus MSA, 2024 Dollars)",Percent Change in Median Sale Price (2024 Dollars),"Percent Change in Median Household Income (Columbus MSA, 2024 Dollars)"
0500000US39159,Union,2017,964,229950.0,7970.456077487186,63764,3.60626685904272,294275.39796834206,81601.11535574413,41.701,11.222
0500000US39159,Union,2018,890,244950.0,9104.11462073556,64052,3.82423655779679,305997.52515859774,80015.32345972037,47.345,9.061
0500000US39159,Union,2019,958,269950.0,9944.922153416617,67207,4.016694689541268,331226.39141506,82462.42670061841,59.493,12.396
0500000US39159,Union,2020,1001,282000.0,9424.618709029459,66715,4.226935471782958,341794.97007468774,80861.17527848508,64.582,10.214
0500000US39159,Union,2021,1107,344720.0,10829.89306004623,71839,4.798507774328708,399065.8452227184,83164.57198582869,92.16,13.353
0500000US39159,Union,2022,948,394500.0,13589.88199296543,75777,5.206065164891721,422853.9081854061,81223.32218140816,103.614,10.707
0500000US39159,Union,2023,883,416000.0,15326.596672507454,77390,5.375371495025197,428269.6667563718,79672.57093816253,106.222,8.594
0500000US39159,Union,2024,983,450500.0,16093.481623162874,82938,5.431768308857219,450500.0,82938.0,116.926,13.044
M010000US01,15-county Region,2012,18205,145000.0,1733.843936652345,53699,2.7002365034730627,198110.16402867675,73367.70826328215,0.0,0.0
M010000US01,15-county Region,2013,21640,152000.0,1692.5990414231744,54079,2.8107028606298194,204676.09043729102,72820.25193919908,3.314,-0.746
M010000US01,15-county Region,2014,24922,155000.0,1517.277866514819,56371,2.7496407727377554,205384.03538118413,74694.86102240472,3.672,1.809
M010000US01,15-county Region,2015,29235,160000.0,1442.9981633479767,58192,2.7495188342040144,211757.9751663383,77016.37556799724,6.889,4.973
M010000US01,15-county Region,2016,31675,170000.0,1377.359366879388,60294,2.819517696619896,222189.89446141155,78804.22056856676,12.155,7.41
M010000US01,15-county Region,2017,32123,184300.0,1414.2152639094163,63764,2.890345649582837,235855.42876958224,81601.11535574413,19.053,11.222
M010000US01,15-county Region,2018,31135,197000.0,1473.2311145799586,64052,3.0756260538312623,246097.21353845176,80015.32345972037,24.222,9.061
M010000US01,15-county Region,2019,31802,212949.5,1485.0224139791349,67207,3.168561310577767,261287.25481993452,82462.42670061841,31.89,12.396
M010000US01,15-county Region,2020,32897,235000.0,1601.6977430487232,66715,3.5224462264857976,284829.1417289064,80861.17527848508,43.773,10.214
M010000US01,15-county Region,2021,35264,266000.0,1681.471259646685,71839,3.7027241470510446,307935.4688710928,83164.57198582869,55.436,13.353
M010000US01,15-county Region,2022,31293,299900.0,2064.0995756019397,75777,3.957665254628713,321454.72006287274,81223.32218140816,62.261,10.707
M010000US01,15-county Region,2023,26782,315000.0,2322.414695179834,77390,4.07029331955033,324290.7332410027,79672.57093816253,63.692,8.594
M010000US01,15-county Region,2024,27661,330000.0,2353.5258098054333,82938,3.978875786732258,330000.0,82938.0,66.574,13.044
M050000US01,CEDS Region,2012,17875,146500.0,1756.485714323732,53699,2.7281699845434737,200159.57951862857,73367.70826328215,0.0,0.0
